route,character,straight_line_m,profile,algorithm,heuristic,label,found,path_cost,ucs_optimal,optimality_ratio,nodes_expanded,max_frontier,runtime_ms,h_source,h_over_optimal,path_length
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,Greedy,h_B,Greedy (h_B),True,43.099399253295694,11.67248302107292,3.6923933986869963,101,76,29.09,0.1777,0.0152,82
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,A*,h_B,A* (h_B),True,11.67248302107292,11.67248302107292,1.0,2226,329,42.24,0.1777,0.0152,40
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,Weighted A*,h_B,Weighted A* (h_B),True,11.67248302107292,11.67248302107292,1.0,2185,328,42.78,0.1777,0.0152,40
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,Greedy,h_ALT,Greedy (h_ALT),True,20.894904704754357,11.67248302107292,1.7900993873395863,66,39,1.06,8.3558,0.7159,45
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,A*,h_ALT,A* (h_ALT),True,11.67248302107292,11.67248302107292,1.0,115,64,2.48,8.3558,0.7159,40
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,safest,Weighted A*,h_ALT,Weighted A* (h_ALT),True,11.67248302107292,11.67248302107292,1.0,84,47,1.53,8.3558,0.7159,40
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,BFS,none,BFS,True,14.435410908424812,12.95774298400852,1.1140374466633518,2336,189,1.54,0.0,0.0,35
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,DFS,none,DFS,True,496.88181111062386,12.95774298400852,38.34632402601582,3830,879,5.83,0.0,0.0,1109
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,UCS,none,UCS,True,12.95774298400852,12.95774298400852,1.0,2425,212,11.95,0.0,0.0,36
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,IDS,none,IDS,True,28.295138396400613,12.95774298400852,2.183647139113684,29464,54,17.5,0.0,0.0,68
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,Greedy,h_old,Greedy (h_old),True,36.36776970913308,12.95774298400852,2.806643854104489,101,76,0.51,0.1377,0.0106,82
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,A*,h_old,A* (h_old),True,12.95774298400852,12.95774298400852,1.0,2386,206,15.3,0.1377,0.0106,36
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,Weighted A*,h_old,Weighted A* (h_old),True,12.95774298400852,12.95774298400852,1.0,2368,208,14.87,0.1377,0.0106,36
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,Greedy,h_B,Greedy (h_B),True,36.36776970913308,12.95774298400852,2.806643854104489,101,76,31.23,0.4498,0.0347,82
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,A*,h_B,A* (h_B),True,12.95774298400852,12.95774298400852,1.0,2287,209,45.1,0.4498,0.0347,36
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,Weighted A*,h_B,Weighted A* (h_B),True,12.95774298400852,12.95774298400852,1.0,2214,211,42.12,0.4498,0.0347,36
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,Greedy,h_ALT,Greedy (h_ALT),True,18.8101281394914,12.95774298400852,1.4516515849022054,59,49,1.09,10.078,0.7778,46
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,A*,h_ALT,A* (h_ALT),True,12.95774298400852,12.95774298400852,1.0,122,55,2.25,10.078,0.7778,36
Mohakhali → Dhanmondi-15,"Medium, diagonal",4075.0077401310805,balanced,Weighted A*,h_ALT,Weighted A* (h_ALT),True,13.985744731867763,12.95774298400852,1.0793349388954485,90,43,1.49,10.078,0.7778,35
